Name,TrainSplit,Pos
000_Anomaly_2500,2500,5500
001_Anomaly_4000,4000,5455
002_Anomaly_4000,4000,4683
003_Anomaly_4000,4000,6510
004_Anomaly_4000,4000,5555
005_Anomaly_4000,4000,4842
006_Anomaly_4000,4000,6047
007_Anomaly_3333,3333,3970
008_Anomaly_5000,5000,5352
009_Anomaly_5000,5000,9430
010_Anomaly_2666,26669428
011_Anomaly_250,250,846
012_Anomaly_1666,1666,5674
013_Anomaly_1666,1666,5674
014_Anomaly_2666,2666,5673
015_Anomaly_5000,5000,5336
016_Anomaly_5000,5000,6616
017_Anomaly_5000,5000,8830
018_Anomaly_4000,4000,8832
019_Anomaly_5000,5000,11892
020_Anomaly_3200,3200,4549
021_Anomaly_2800,2800,3467
022_Anomaly_1700,1700,7193
023_Anomaly_1200,1200,3872
024_Anomaly_1600,1600,6544
025_Anomaly_2300,2300,7412
026_Anomaly_3000,3000,5249
027_Anomaly_2700,2700,7410
028_Anomaly_1000,1000,4221
029_Anomaly_4000,4000,6216
