x_axis,y_axis,is_anomaly
0,-31.175563,0
1,-35.021648,0
2,-35.284712,0
3,-29.373231,0
4,-18.226952,0
5,-9.7081984,0
6,-4.5321005,0
7,6.5838969,0
8,11.330801,0
9,2.9087703,0
10,3.2724537,0
11,0.29764305,0
12,0.83150007,0
13,-4.0959612,0
14,-1.789827,0
15,-7.6118354,0
16,-7.7438971,0
17,-2.7113037,0
18,-2.836097,0
19,-3.5670242,0
20,-4.0675651,0
21,-3.8276317,0
22,2.0982972,0
23,-1.4180102,0
24,2.6347841,0
25,2.855461,0
26,6.5206443,0
27,8.0709385,0
28,4.8207357,0
29,4.246553,0
30,9.6595421,0
31,7.3041772,0
32,15.07847,0
33,11.71044,0
34,5.2373708,0
35,5.6985982,0
36,4.9005858,0
37,6.3539622,0
38,17.399481,0
39,33.636404,0
40,57.757374,0
41,137.98153,0
42,135.56791,0
43,-13.990763,0
44,-22.018212,0
45,-26.572932,0
46,-25.144222,0
47,-23.556608,0
48,-20.072212,0
49,-19.897294,0
50,-23.275995,0
51,-24.353936,0
52,-25.531353,0
53,-26.353666,0
54,-31.622999,0
55,-30.007511,0
56,-30.700935,0
57,-32.884304,0
58,-28.904288,0
59,-16.976835,0
60,-0.038340362,0
61,4.8431773,0
62,13.385619,0
63,15.043219,0
64,19.705338,0
65,18.583186,0
66,15.289564,0
67,14.080022,0
68,13.799208,0
69,11.86273,0
70,12.46491,0
71,12.619795,0
72,9.8933469,0
73,11.613265,0
74,8.3277479,0
75,10.150188,0
76,6.0927664,0
77,6.6100389,0
78,3.0333822,0
79,0.79576688,0
80,1.0916665,0
81,4.2977921,0
82,-3.5256403,0
83,-1.2174294,0
84,2.878559,0
85,0.73543297,0
86,4.0414418,0
87,8.0706335,0
88,9.8883512,0
89,2.2078064,0
90,-4.4728326,0
91,-0.77848497,0
92,0.49733343,0
93,3.8740514,0
94,19.915762,0
95,24.504153,0
96,81.922932,0
97,151.4871,0
98,40.373611,0
99,-21.537395,0
100,-26.034448,0
101,-24.622429,0
102,-28.488528,0
103,-22.118542,0
104,-25.040635,0
105,-22.131405,0
106,-26.003021,0
107,-17.629687,0
108,-24.100585,0
109,-28.024521,0
