x_axis,y_axis,is_anomaly
0,-25.826106,0
1,-31.553424,0
2,-31.637284,0
3,-24.285018,0
4,-10.092373,0
5,-2.2267195,0
6,2.921136,0
7,15.589019,0
8,21.005671,0
9,11.108678,0
10,13.22988,0
11,10.820196,0
12,12.250752,0
13,6.2644184,0
14,11.135593,0
15,1.9932422,0
16,-0.84642957,0
17,3.5341877,0
18,2.2215765,0
19,3.5060384,0
20,-0.24381133,0
21,-3.0296932,0
22,4.2750643,0
23,-0.68015271,0
24,-0.010243527,0
25,-1.5118224,0
26,5.0099982,0
27,4.6828279,0
28,1.5917592,0
29,-0.42215,0
30,2.1645627,0
31,0.16973635,0
32,8.4443327,0
33,3.9903734,0
34,-0.67109224,0
35,2.6763767,0
36,-0.18527671,0
37,3.0600745,0
38,16.073896,0
39,31.34375,0
40,57.329798,0
41,138.6108,0
42,136.11405,0
43,-19.075125,0
44,-26.462504,0
45,-32.180052,0
46,-29.249346,0
47,-27.2434,0
48,-26.700117,0
49,-23.997061,0
50,-25.280142,0
51,-24.327422,0
52,-23.48873,0
53,-25.540575,0
54,-32.422403,0
55,-33.483371,0
56,-32.996872,0
57,-38.564373,0
58,-34.092428,0
59,-21.842718,0
60,-2.4457176,0
61,1.6959092,0
62,10.849629,0
63,12.685908,0
64,17.29894,0
65,12.158088,0
66,9.165964,0
67,7.7678874,0
68,6.2692072,0
69,1.4797734,0
70,2.0066621,0
71,3.3100563,0
72,1.3645949,0
73,-0.86478831,0
74,-1.119167,0
75,0.70826902,0
76,-2.0207168,0
77,-2.7739742,0
78,-3.5525228,0
79,-2.3620169,0
80,-4.3146235,0
81,-0.08818223,0
82,-3.8722654,0
83,-3.2326701,0
84,1.7424831,0
85,-1.2845515,0
86,-0.17391522,0
87,2.4259178,0
88,6.2151228,0
89,-3.2295544,0
90,-5.7026552,0
91,-0.48827115,0
92,-1.2541362,0
93,1.3022123,0
94,17.894618,0
95,20.533119,0
96,76.667006,0
97,147.21365,0
98,36.896057,0
99,-25.206932,0
100,-29.177092,0
101,-29.995989,0
102,-32.924586,0
103,-28.159357,0
104,-27.820375,0
105,-26.318948,0
106,-28.745104,0
107,-22.808023,0
108,-30.298358,0
109,-30.976713,0
110,-29.669701,0
111,-34.346517,0
112,-31.48704,0
113,-31.241107,0
114,-28.107711,0
115,-18.703713,0
116,-2.5384753,0
117,6.2780553,0
118,13.242459,0
119,19.937969,0
120,12.252959,0
121,14.91226,0
122,11.284409,0
123,12.66874,0
124,12.776157,0
125,9.8065044,0
126,9.3264602,0
127,8.1809703,0
128,8.1947364,0
129,8.9184749,0
130,7.9063806,0
131,9.423261,0
132,11.776802,0
133,8.6735452,0
134,6.7844447,0
135,6.5505849,0
136,4.2089013,0
137,4.8742425,0
138,1.4311188,0
139,2.4092361,0
140,2.7313468,0
141,2.7024661,0
142,3.4427238,0
143,5.7819812,0
144,10.660527,0
145,3.1763404,0
146,2.2441312,0
147,3.7971044,0
148,-0.16630542,0
149,14.22784,0
150,21.240088,0
151,30.941178,0
152,109.56371,0
153,157.76427,0
154,3.4045631,0
155,-22.198602,0
156,-25.07346,0
157,-21.381444,0
158,-27.06364,0
159,-25.331605,0
160,-26.800518,0
161,-28.324923,0
162,-26.273654,0
163,-28.83336,0
164,-28.910629,0
165,-29.992977,0
166,-35.367071,0
167,-44.228634,0
168,-40.541583,0
169,-29.840453,0
170,-20.639573,0
171,-14.152079,0
172,-1.5147646,0
173,4.7690889,0
174,13.693005,0
175,18.290544,0
176,19.899092,0
177,3.0987661,0
178,4.5599738,0
179,1.0517517,0
180,2.961376,0
181,-0.21866669,0
182,3.806586,0
183,-2.8372565,0
184,-0.37039204,0
185,-2.7882107,0
186,-3.0554226,0
187,-3.1962933,0
188,-2.0232765,0
189,-2.687817,0
190,-3.2011118,0
191,-2.7252004,0
192,-5.3805546,0
193,-8.2587634,0
194,-5.5580083,0
195,-7.7164512,0
196,-8.3790028,0
197,-9.1904954,0
198,-2.1471172,0
199,8.390744,0
200,-2.876506,0
201,-1.0962606,0
202,0.54485243,0
203,1.4533664,0
204,9.8192907,0
205,25.534684,0
206,32.857825,0
207,95.999333,0
208,161.94204,0
209,30.575683,0
210,-17.303479,0
211,-18.326474,0
212,-19.238284,0
213,-19.90195,0
214,-16.244143,0
215,-15.339346,0
216,-21.213455,0
217,-21.773036,0
218,-21.525225,0
219,-21.307203,0
220,-25.504412,0
221,-32.441476,0
222,-36.712343,0
223,-43.470907,0
224,-35.951028,0
225,-26.548838,0
226,-14.693776,0
227,-4.5635503,0
228,1.3116948,0
229,5.4841952,0
230,15.997123,0
231,11.431343,0
232,9.4278115,0
233,11.708218,0
234,6.3011706,0
235,6.2800985,0
236,4.6744821,0
237,3.4131837,0
238,5.2779293,0
239,6.0753883,0
240,2.3274222,0
241,-0.17954999,0
242,0.72981606,0
243,2.4790415,0
244,3.2087679,0
245,5.564849,0
246,4.77421,0
247,-1.0759733,0
248,0.65216019,0
249,-0.65688839,0
250,-0.78067831,0
251,1.8365433,0
252,0.94047679,0
253,0.91651098,0
254,2.1951984,0
255,5.7459712,0
256,-4.2639396,0
257,-0.45488239,0
258,-2.1518699,0
259,-3.6736481,0
260,14.151739,0
261,28.14082,0
262,38.498922,0
263,122.01872,0
264,137.95635,0
265,-18.416731,0
266,-32.361268,0
267,-30.458259,0
268,-35.638274,0
269,-31.102709,0
270,-29.905952,0
271,-36.325776,0
272,-35.345826,0
273,-29.644014,0
274,-37.652926,0
275,-36.815456,0
276,-42.055057,0
277,-46.56042,0
278,-50.211302,0
279,-49.121867,0
280,-40.417143,0
281,-25.836714,0
282,-7.7381017,0
283,-1.1848026,0
284,4.7394684,0
285,9.2991832,0
286,14.188975,0
287,10.848993,0
288,8.4250648,0
289,5.9301937,0
290,10.901475,0
291,8.5593396,0
292,6.8701908,0
293,5.7617949,0
294,2.8407503,0
295,6.7007991,0
296,4.7510959,0
297,3.0029243,0
298,4.5724467,0
299,1.9508438,0
300,3.9719577,0
301,1.8939804,0
302,0.97636005,0
303,4.122593,0
304,6.8965922,0
305,9.761796,0
306,3.6089,0
307,5.612897,0
308,5.6619547,0
309,6.7744824,0
310,14.682317,0
311,9.4151875,0
312,5.4569976,0
313,2.3022068,0
314,5.3695807,0
315,6.8700658,0
316,14.725855,0
317,33.108774,0
318,72.984041,0
319,144.45147,0
320,80.440157,0
321,-21.362943,0
322,-32.315348,0
323,-28.783238,0
324,-33.105104,0
325,-26.096583,0
326,-29.448228,0
327,-29.243491,0
328,-28.007275,0
329,-19.83498,0
330,-23.797224,0
331,-26.732833,0
332,-30.96267,0
333,-37.189808,0
334,-39.773487,0
335,-35.125192,0
336,-30.693411,0
337,-17.194257,0
338,-7.2111009,0
339,2.5122692,0
340,10.090363,0
341,10.574749,0
342,11.19118,0
343,7.5662201,0
344,6.8132349,0
345,6.0303916,0
346,2.702024,0
347,1.3016195,0
348,6.1617174,0
349,7.3494717,0
350,4.846307,0
351,4.1065747,0
352,3.9747986,0
353,5.5245341,0
354,4.1412585,0
355,5.9810066,0
356,6.812174,0
357,6.8621488,0
358,9.2458231,0
359,5.4139355,0
360,9.1701328,0
361,11.159482,0
362,9.7573014,0
363,11.031116,0
364,12.064518,0
365,12.060831,0
366,19.376774,0
367,11.982736,0
368,13.933302,0
369,10.482573,0
370,12.238659,0
371,13.681877,0
372,38.034031,0
373,49.245974,0
374,91.722699,0
