ID,PREDICTED
000_Anomaly_2500,5566
001_Anomaly_4000,5387
002_Anomaly_4000,5948
003_Anomaly_4000,4084
004_Anomaly_4000,5557
005_Anomaly_4000,4847
006_Anomaly_4000,6050
007_Anomaly_3333,4009
008_Anomaly_5000,5347
009_Anomaly_5000,5008
010_Anomaly_2666,2978
011_Anomaly_250,394
012_Anomaly_1666,5670
013_Anomaly_1666,2095
014_Anomaly_2666,5008
015_Anomaly_5000,10941
016_Anomaly_5000,6562
017_Anomaly_5000,5907
018_Anomaly_4000,6575
019_Anomaly_5000,8587
020_Anomaly_3200,7369
021_Anomaly_2800,5570
022_Anomaly_1700,6154
023_Anomaly_1200,4122
024_Anomaly_1600,3160
025_Anomaly_2300,7227
026_Anomaly_3000,4145
027_Anomaly_2700,5030
028_Anomaly_1000,3777
029_Anomaly_4000,6176
