ID,PREDICTED
000_Anomaly_2500,5566
001_Anomaly_4000,4061
002_Anomaly_4000,4061
003_Anomaly_4000,4084
004_Anomaly_4000,5577
005_Anomaly_4000,4847
006_Anomaly_4000,6050
007_Anomaly_3333,4009
008_Anomaly_5000,5347
009_Anomaly_5000,5008
010_Anomaly_2666,5063
011_Anomaly_250,851
012_Anomaly_1666,2367
013_Anomaly_1666,2095
014_Anomaly_2666,5008
015_Anomaly_5000,10497
016_Anomaly_5000,9171
017_Anomaly_5000,5939
018_Anomaly_4000,11535
019_Anomaly_5000,8587
020_Anomaly_3200,5370
021_Anomaly_2800,5213
022_Anomaly_1700,4837
023_Anomaly_1200,2996
024_Anomaly_1600,3182
025_Anomaly_2300,3908
026_Anomaly_3000,4145
027_Anomaly_2700,5030
028_Anomaly_1000,4810
029_Anomaly_4000,6176
