ID,PREDICTED
000_Anomaly_2500,5575
001_Anomaly_4000,5386
002_Anomaly_4000,5460
003_Anomaly_4000,6515
004_Anomaly_4000,5557
005_Anomaly_4000,4847
006_Anomaly_4000,6050
007_Anomaly_3333,3970
008_Anomaly_5000,5347
009_Anomaly_5000,5338
010_Anomaly_2666,5670
011_Anomaly_250,851
012_Anomaly_1666,5670
013_Anomaly_1666,5670
014_Anomaly_2666,5668
015_Anomaly_5000,6134
016_Anomaly_5000,7248
017_Anomaly_5000,5921
018_Anomaly_4000,6509
019_Anomaly_5000,8688
020_Anomaly_3200,4280
021_Anomaly_2800,5570
022_Anomaly_1700,5693
023_Anomaly_1200,4157
024_Anomaly_1600,3227
025_Anomaly_2300,4505
026_Anomaly_3000,4145
027_Anomaly_2700,5806
028_Anomaly_1000,4749
029_Anomaly_4000,6186
