ID,PREDICTED
000_Anomaly_2500,5566
001_Anomaly_4000,6249
002_Anomaly_4000,6249
003_Anomaly_4000,5074
004_Anomaly_4000,5577
005_Anomaly_4000,6249
006_Anomaly_4000,5096
007_Anomaly_3333,4009
008_Anomaly_5000,5346
009_Anomaly_5000,5008
010_Anomaly_2666,2978
011_Anomaly_250,851
012_Anomaly_1666,5063
013_Anomaly_1666,2095
014_Anomaly_2666,7945
015_Anomaly_5000,10497
016_Anomaly_5000,9350
017_Anomaly_5000,9569
018_Anomaly_4000,10886
019_Anomaly_5000,8588
020_Anomaly_3200,5370
021_Anomaly_2800,5602
022_Anomaly_1700,4837
023_Anomaly_1200,1714
024_Anomaly_1600,3197
025_Anomaly_2300,4110
026_Anomaly_3000,4145
027_Anomaly_2700,5030
028_Anomaly_1000,4812
029_Anomaly_4000,6176
